query,docid,contents,modality,relevant
COVID-19 impact on healthcare systems,bmjopen-2021-057402_chunk4,"greatest among the population of the urban slums. 17 In addition, the ongoing economic shutdown caused by COVID-19 threatened millions of livelihoods engaged in the informal sector with little or no financial protection for healthcare. 18 Unfortunately, almost 18 months into the pandemic, there remains a paucity of information about the nature and the extent of the impact, of the pandemic on health services in the urban slums. Given the nature of the spread of the disease, it is essential to understand whether and how COVID-19 affects the utilisation of health services and OOPE during the pandemic. Understanding this is particularly important if the Universal Health Coverage lead, to leave no one behind, is to be taken seriously. Timely rapid assessments of the impact on the vulnerable groups can support the government and policymakers to design and implement efficient response plans. The current paper, thus, aims to assess the health system impact of COVID-19 on urban slum dwellers in Dhaka city. Methodology Conceptual framework We explored the impact of COVID-19 and the resulting country-wide lockdown on the urban health system of Bangladesh through the lens of WHO’s six health system building blocks (i.e., service delivery, health workforce, health information system, essential medicine, health financing, leadership/governance). 19 We explored how far health services were accessible and available to the urban slum population; challenges faced by the urban healthcare providers and the viewpoint of health policymakers towards healthcare provision in urban slums of Dhaka city during the pandemic. Figure 1 illustrates the",text,1
COVID-19 impact on healthcare systems,bmjopen-2021-057402_chunk0,"Health system impact of COVID-19 on urban slum population of Bangladesh: a mixed-method rapid assessment study Objective We aimed to rapidly assess the health system impact of COVID-19 in the urban slums of Bangladesh. Design Setting and participants A cross-sectional survey among 476 households was conducted during October–December 2020 in five selected urban slums of Dhaka North, Dhaka South and Gazipur City Corporation. In-depth interviews with purposively selected 22 slum dwellers and key informant interviews with 16 local healthcare providers and four policymakers and technical experts were also conducted. Outcome measures Percentage of people suffering from general illness, percentage of people suffering from chronic illness, percentage of people seeking healthcare, percentage of people seeking maternal care, health system challenges resulting from COVID-19. Results About 12% of members suffered from general illness and 25% reported chronic illness. Over 80% sought healthcare and the majority sought care from informal healthcare providers. 39% of the recently delivered women sought healthcare in 3 months preceding the survey. An overall reduction in healthcare use was reported during the lockdown period compared with prepandemic time. Mismanagement and inefficient use of resources were reported as challenges of health financing during the pandemic. Health information sharing was inadequate at the urban slums, resulting from the lack of community and stakeholder engagement (51% received COVID-19-related information, 49% of respondents knew about the national hotline number for COVID-19 treatment). Shortage of human resources for health was reported to be acute during the pandemic, resulting from the shortage of specialist doctors",text,1
COVID-19 impact on healthcare systems,bmjopen-2021-057402_chunk24,"together (technical expert, KII-19). Online supplemental table 1 presents an overview of the opinions of all the technical experts and the healthcare providers in relation to the health system impact of COVID-19 pandemic ( online supplemental table 1 ). 10.1136/bmjopen-2021-057402.supp1 Supplementary data Discussion The study findings highlight the effect of the COVID-19 pandemic and the resulting country-wide lockdown on the health systems of Bangladesh from the perspective of health service users and providers in urban slums as well as policymakers and members of the national technical committee on COVID-19. The impact on the six different building blocks of health systems is presented in the study 19 ( online supplemental table 1 ). Before pandemic, a study conducted in urban slums of Dhaka city in 2017 reported that 93% of patients suffering from chronic illness sought treatment. 20 Findings from our study showed that healthcare seeking was adversely affected in the urban slums during the pandemic, particularly for patients suffering from chronic illness (37% lower). The lower use of ANC, PNC, general outpatient services and immunisation services was also reported in a study conducted by USAID. 24 One important finding is the rise in the demand for informal healthcare providers during the pandemic period by slum dwellers; consistent with the finding of other studies conducted in similar settings. 25 26 The utilisation of health services provided by formal health facilities was limited during this time due to such issues as shortened service hours, lack of physicians, COVID-19 test requirements at the",text,1
COVID-19 impact on healthcare systems,11845_2022_Article_2939_chunk92,"Dr Pearl Nogi 50. ASSESSING THE IMPACT OF DIGITAL HEALTH ON TRANSFORMING HEALTHCARE SERVICES DURING COVID-19 O’Neill T 1 , McQuaid L 2 1 UCD School of Medicine, University College Dublin, Belfield, Dublin 4, Ireland 2 Health Information and Standards, Health Information and Quality Standards (HIQA), Dublin 7, Ireland COVID-19 has changed how healthcare will deliver services. Faced with a shortage of medical staff and appropriate infrastructure, health services face an enormous challenge in managing COVID-19 patients while continuing to care for patients with other pathologies. The development of robust health information systems and digital health solutions is essential in the provision of healthcare services across Ireland now and in the future (1). The purpose of this report is to collate information from articles, government publications and grey literature in order to assess the impact of digital health on transforming healthcare services during COVID-19 internationally and to compare these interventions to the Irish digital health experience. A comprehensive search was undertaken using PubMed and Google Scholar (2019-present). The review covers three countries; Ireland, Scotland and Denmark. These countries were chosen as they have a similar population and demographics to Ireland. Health services and government agencies implemented digital health solutions in order to allow both routine care to continue and COVID-19 testing, tracing and treatment to be optimised. Digital health solutions include; electronic prescribing, electronic referrals, electronic health records, individual health identifiers, telemedicine and mobile applications. These innovations strengthened the Irish, Danish and Scottish response to the COVID-19 pandemic. This study",text,1
COVID-19 impact on healthcare systems,fpubh-12-1385349_chunk2,"antihypertensive treatment, particularly in primary-care settings ( 6 ). Mexico has experienced a steep increase in arterial hypertension prevalence and mortality within the last two decades ( 7 ). Furthermore, the Mexican population coexists with a high prevalence of cardiometabolic diseases and risk factors that have demonstrated to impact the management of blood pressure ( 8 , 9 ). These structural conditions created a challenging scenario for managing arterial hypertension within the context of the coronavirus disease 2019 (COVID-19) pandemic. It has been reported that the Mexican healthcare system modified its care policies to prioritize the attention of critically ill COVID-19 patients, triggering structural deficiencies in care in different healthcare sectors ( 10 , 11 ). Consequently, these changes brought a deficiency in care for other chronic health diseases, such as diabetes and cardiovascular diseases ( 12 , 13 ). We hypothesize that arterial hypertension was not the exception, as modification in healthcare policies could have led to an increase in the burden of undiagnosed and uncontrolled hypertension. Though several reports have estimated the impact of the COVID-19 pandemic on chronic health conditions and its related complications mainly related to excess mortality, there are limited insights regarding the clinical and treatment management of arterial hypertension during the COVID-19 pandemic in Mexico ( 12 , 14 ). Hence, there is a need to assess the epidemiological situation of arterial hypertension profiles to strengthen healthcare policies and mitigate the burden of hypertension in our country. Hence, this study aimed to (1) estimate",text,0
COVID-19 impact on healthcare systems,SRP2023-5774071_chunk1,"no seroconversion from negative to positive in our patients during the peri-operative period. Conclusion COVID-19 positivity rate in Group-2 was significantly less. None of the COVID-19-negative patients turned symptomatic and the probability of seroconversion from COVID-19-negative was less during the peri-operative period. The isolation protocol of non-COVID-19 positive patients with the separate channel is effective. 1. Introduction The World Health Organization (WHO) declared coronavirus disease (COVID-19), an infectious disease caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) outbreak, a public health emergency of international concern on 30 January, 2020, and a pandemic on 11 March, 2020. As of 9 March, 2022, the pandemic had caused more than 450 million cases and 6.01 million deaths, making it the fifth deadliest in history [ 1 ]. India implemented a nation-wide lockdown from 22 March, 2020, and adopted various suppression and mitigation strategies through five-phased lockdowns [ 2 ], invoking a huge strain on the healthcare system, more so in the surgical field. The effect of lockdown on the supply chain impacted the availability of healthcare accessories such as intensive care unit (ICU), beds, and ventilators. Elective and semi-emergency surgeries were stopped and opted for selectively in those with life-threatening complications/severe disease. As a result, there has been a dramatic shift in the professional framework of the healthcare system, and responsibilities. Screening for COVID-19, isolation, and quarantine were strictly followed to minimize contact and spread. As the associations globally have advised elective surgeries for COVID-19 infected, which extends from 4 to",text,1
COVID-19 impact on healthcare systems,10.1177_00469580231221290_chunk16,"rate with more healthcare professionals, and low infection rate/high death rate with fewer healthcare workers. This underscores the importance of healthcare infrastructure in pandemic response. In conclusion, social behavior, healthcare capacity, and adherence to guidelines are crucial factors in COVID-19 outcomes. Policymakers should focus on these aspects to improve pandemic management. Further research should explore these dynamics in greater depth. Limitations While the study identifies associations between societal values, healthcare infrastructure, and COVID-19 outcomes, it does not establish causation, leaving room for the influence of other unexplored factors. Measuring societal values is complex and may not fully capture cultural nuances. Temporal changes in behavior and healthcare infrastructure are not comprehensively considered, and regional variations within countries may be overlooked. Additionally, other influential variables, such as government policies and demographics, are not fully analyzed. The assumption that the quantity of healthcare professionals directly correlates with healthcare quality oversimplifies the healthcare system. Further studies are warranted to delve deeper into these limitations and their potential impact on the observed trends and conclusions. Supplemental Material sj-docx-1-inq-10.1177_00469580231221290 – Supplemental material for Higher Frequency of Healthcare Professionals is Associated With a Low Incidence of COVID-19-Related Death Click here for additional data file. Supplemental material, sj-docx-1-inq-10.1177_00469580231221290 for Higher Frequency of Healthcare Professionals is Associated With a Low Incidence of COVID-19-Related Death by Soumya Kanti Guha and Sougata Niyogi in INQUIRY: The Journal of Health Care Organization, Provision, and Financing",text,1
COVID-19 impact on healthcare systems,bmjopen-14-7_chunk0,"Impact of the COVID-19 pandemic from the perspective of patients with cardiovascular disease in Australia: mixed-methods study Abstract Objectives The study explored the perceived impacts of COVID-19 and its associated policies and social restrictions on health, self-management and access to healthcare. Design Cross-sectional observational (online survey) and qualitative study (semi-structured interviews and thematic analysis). Setting Australia. Participants People with self-reported cardiovascular disease (CVD) and/or risk factors. Results Survey responses were collected from 690 participants (43.8% women, 40.1% over 65 years). Participants reported that their heart health had been affected by the pandemic (26.3%), were less likely to exercise (47.1%), have a healthy diet (25.9%) and take medications (9.4%). A large proportion were admitted to hospital (46.2%) and presented to the emergency department (40.6%). Difficulties in accessing healthcare providers (53.2%) and use of telemedicine (63.6%) were reported. We conducted 16 semi-structured interviews and identified five key themes: adding burden in seeking medical care, impediments in accessing a readjusted health system, exacerbating vulnerability and distress, coping with self-management and adapting to telehealth. Conclusions Patients with CVD expressed an additional burden in seeking medical care and difficulties navigating a readjusted health system during the COVID-19 pandemic. Associated policies and access issues heightened vulnerabilities and distress, making self-management of health difficult for patients with CVD. STRENGTHS AND LIMITATIONS OF THIS STUDY A community survey from a large cohort of people living with cardiovascular disease and/or associated risk factors in Australia highlighted the impacts of COVID-19 on health, self-management and access to health services experienced",text,1
COVID-19 impact on healthcare systems,12325_2021_Article_1654_chunk2,"acute treatments for hospitalized patients with COVID-19, considering a broad spectrum of potential treatment profiles and perspectives within the US healthcare system. What was learned from the study? Viewing results in aggregate, we find that treatments that confer at least a mortality benefit are likely to be cost-effective, as all deterministic and sensitivity analyses results fell far below US willingness-to-pay thresholds from both a US health payer and societal perspective. Even with conservative assumptions on societal impact, we find that the societal perspective consistently produced ICERs that were 40–50% lower than ICERs for the health payer perspective. Effective COVID-19 treatments for hospitalized patients may not only reduce disease burden but also represent good value for the health system. We also demonstrate that, despite limited data available on the long-term impact of invasive mechanical ventilation and productivity of COVID-19 patients post-discharge, it is possible to estimate the cost-effectiveness of inpatient treatments for COVID-19 from a societal perspective using a conservative approach to help guide future decisions on allocation of healthcare resources. Digital Features This article is published with digital features, including a summary slide, to facilitate understanding of the article. To view digital features for this article go to 10.6084/m9.figshare.13712821. Introduction The coronavirus disease 2019 (COVID-19) pandemic is a global crisis. As of November 3, 2020, the United States (USA) has the highest number of cases and deaths globally, with over 9 million confirmed cases and more than 231,000 deaths (70.77 deaths per 100,000) [ 1 ]. While information on the",text,1
COVID-19 impact on healthcare systems,12325_2021_Article_1654_chunk0,"A Cost-Effectiveness Framework for COVID-19 Treatments for Hospitalized Patients in the United States Introduction The COVID-19 pandemic is a global crisis impacting population health and the economy. We describe a cost-effectiveness framework for evaluating acute treatments for hospitalized patients with COVID-19, considering a broad spectrum of potential treatment profiles and perspectives within the US healthcare system to ensure incorporation of the most relevant clinical parameters, given evidence currently available. Methods A lifetime model, with a short-term acute care decision tree followed by a post-discharge three-state Markov cohort model, was developed to estimate the impact of a potential treatment relative to best supportive care (BSC) for patients hospitalized with COVID-19. The model included information on costs and resources across inpatient levels of care, use of mechanical ventilation, post-discharge morbidity from ventilation, and lifetime healthcare and societal costs. Published literature informed clinical and treatment inputs, healthcare resource use, unit costs, and utilities. The potential health impacts and cost-effectiveness outcomes were assessed from US health payer, societal, and fee-for-service (FFS) payment model perspectives. Results Viewing results in aggregate, treatments that conferred at least a mortality benefit were likely to be cost-effective, as all deterministic and sensitivity analyses results fell far below willingness-to-pay thresholds using both a US health payer and FFS payment perspective, with and without societal costs included. In the base case, incremental cost-effectiveness ratios (ICER) ranged from $22,933 from a health payer perspective using bundled payments to $8028 from a societal perspective using a FFS payment model. Even with conservative assumptions",text,1
